,accuracy,roc_auc,f1_score,train_accuracy,overfit_gap
Random Forest,0.9045226130653267,0.9308951303293594,0.8961748633879781,0.9180327868852459,0.013510173819919258
Extra Trees,0.8542713567839196,0.9248332996564962,0.8323699421965318,0.8776796973518285,0.02340834056790886
Stacking,0.8944723618090452,0.921903414831279,0.8888888888888888,0.9419924337957125,0.0475200719866673
Bagging,0.8994974874371859,0.9176601333602749,0.8924731182795699,0.9962168978562421,0.09671941041905618
XGBoost,0.8994974874371859,0.9146292180238432,0.8913043478260869,0.8953341740226987,-0.00416331341448728
AdaBoost,0.914572864321608,0.9142250959789856,0.9081081081081082,0.9117276166456494,-0.0028452476759586176
Decision Tree,0.8743718592964824,0.9128611840775913,0.8648648648648649,0.8953341740226987,0.020962314726216236
Gradient Boosting,0.8542713567839196,0.9092746009294806,0.8497409326424871,0.969735182849937,0.11546382606601735
Logistic Regression,0.8391959798994975,0.8855324307940997,0.8333333333333334,0.8284993694829761,-0.010696610416521368
SVM,0.8291457286432161,0.8847241867043846,0.8191489361702128,0.8284993694829761,-0.0006463591602400287
Neural Network,0.8040201005025126,0.8670438472418671,0.7936507936507936,0.8814627994955864,0.07744269899307377
KNN,0.7638190954773869,0.8234996969084664,0.7374301675977654,0.9987389659520807,0.23491987047469376
