,accuracy,roc_auc,f1_score,train_accuracy,overfit_gap
Random Forest,0.9278350515463918,0.9421768707482994,0.9213483146067416,0.9158031088082902,-0.012031942738101598
AdaBoost,0.9020618556701031,0.9394664115646258,0.8972972972972973,0.9028497409326425,0.0007878852625393673
Stacking,0.9278350515463918,0.9357993197278911,0.9222222222222223,0.9365284974093264,0.008693445862934635
XGBoost,0.9226804123711341,0.9340986394557823,0.9152542372881356,0.8963730569948186,-0.026307355376315456
Decision Tree,0.9175257731958762,0.9335140306122449,0.9111111111111111,0.9106217616580311,-0.006904011537845145
Bagging,0.8969072164948454,0.9292091836734694,0.8913043478260869,0.9676165803108808,0.07070936381603543
Extra Trees,0.8814432989690721,0.9199617346938775,0.8670520231213873,0.8730569948186528,-0.0083863041504193
SVM,0.8556701030927835,0.9092261904761906,0.8292682926829268,0.8316062176165803,-0.024063885476203195
Logistic Regression,0.8350515463917526,0.9088010204081632,0.8260869565217391,0.8316062176165803,-0.0034453287751723405
Neural Network,0.8608247422680413,0.899766156462585,0.8491620111731844,0.8937823834196891,0.03295764115164779
Gradient Boosting,0.8608247422680413,0.8975340136054422,0.847457627118644,0.9987046632124352,0.13787992094439394
KNN,0.7783505154639175,0.8318452380952381,0.7455621301775148,0.9987046632124352,0.2203541477485177
